[Trace]   DarkRiftServer        System Details:
[Info]    MMOServerPlugin       Spawned enemy 123
[Info]    MMOServerPlugin       Spawned enemy 124
[Info]    MMOServerPlugin       Spawned enemy 125
[Info]    MMOServerPlugin       Spawned enemy 126
[Info]    MMOServerPlugin       Spawned enemy 127
[Info]    MMOServerPlugin       Spawned enemy 128
[Info]    MMOServerPlugin       Spawned enemy 129
[Info]    MMOServerPlugin       Spawned enemy 130
[Info]    MMOServerPlugin       Spawned enemy 131
[Info]    MMOServerPlugin       Spawned enemy 132
[Info]    MMOServerPlugin       Spawned enemy 133
[Info]    MMOServerPlugin       Spawned enemy 134
[Info]    MMOServerPlugin       Spawned enemy 135
[Info]    MMOServerPlugin       Spawned enemy 136
[Info]    MMOServerPlugin       Spawned enemy 137
[Info]    MMOServerPlugin       Spawned enemy 138
[Info]    MMOServerPlugin       Spawned enemy 139
[Info]    MMOServerPlugin       Spawned enemy 140
[Info]    MMOServerPlugin       Spawned enemy 141
[Info]    MMOServerPlugin       Spawned enemy 142
[Info]    MMOServerPlugin       Spawned enemy 143
[Info]    MMOServerPlugin       Spawned enemy 144
[Info]    MMOServerPlugin       Spawned enemy 145
[Info]    MMOServerPlugin       Spawned enemy 146
[Info]    MMOServerPlugin       Spawned enemy 147
[Info]    MMOServerPlugin       Spawned enemy 148
[Info]    MMOServerPlugin       Spawned enemy 149
[Info]    MMOServerPlugin       Spawned enemy 150
[Info]    MMOServerPlugin       Spawned enemy 151
[Info]    MMOServerPlugin       Spawned enemy 152
[Info]    MMOServerPlugin       Spawned enemy 153
[Info]    MMOServerPlugin       Spawned enemy 154
[Info]    MMOServerPlugin       Spawned enemy 155
[Info]    MMOServerPlugin       Spawned enemy 156
[Info]    MMOServerPlugin       Spawned enemy 157
[Info]    MMOServerPlugin       Spawned enemy 158
[Info]    MMOServerPlugin       Spawned enemy 159
[Info]    MMOServerPlugin       Spawned enemy 160
[Info]    MMOServerPlugin       Spawned enemy 161
[Info]    MMOServerPlugin       Spawned enemy 162
[Info]    MMOServerPlugin       Spawned enemy 163
[Info]    MMOServerPlugin       Spawned enemy 164
[Info]    MMOServerPlugin       Spawned enemy 165
[Info]    MMOServerPlugin       Spawned enemy 166
[Info]    MMOServerPlugin       Spawned enemy 167
[Info]    MMOServerPlugin       Spawned enemy 168
[Info]    MMOServerPlugin       Spawned enemy 169
[Info]    MMOServerPlugin       Spawned enemy 170
[Info]    MMOServerPlugin       Spawned enemy 171
[Info]    MMOServerPlugin       Spawned enemy 172
[Info]    MMOServerPlugin       Spawned enemy 173
[Info]    MMOServerPlugin       Spawned enemy 174
[Info]    MMOServerPlugin       Spawned enemy 175
[Info]    MMOServerPlugin       Spawned enemy 176
[Info]    MMOServerPlugin       Spawned enemy 177
[Info]    MMOServerPlugin       Spawned enemy 178
[Info]    MMOServerPlugin       Spawned enemy 179
[Info]    MMOServerPlugin       Spawned enemy 180
[Info]    MMOServerPlugin       Spawned enemy 181
[Info]    MMOServerPlugin       Spawned enemy 182
[Info]    MMOServerPlugin       Spawned enemy 183
[Info]    MMOServerPlugin       Spawned enemy 184
[Info]    MMOServerPlugin       Spawned enemy 185
[Info]    MMOServerPlugin       Spawned enemy 186
[Info]    MMOServerPlugin       Spawned enemy 187
[Info]    MMOServerPlugin       Spawned enemy 188
[Info]    MMOServerPlugin       Spawned enemy 189
[Info]    MMOServerPlugin       Spawned enemy 190
[Info]    MMOServerPlugin       Spawned enemy 191
[Info]    MMOServerPlugin       Spawned enemy 192
[Info]    MMOServerPlugin       Spawned enemy 193
[Info]    MMOServerPlugin       Spawned enemy 194
[Info]    MMOServerPlugin       Spawned enemy 195
[Info]    MMOServerPlugin       Spawned enemy 196
[Info]    MMOServerPlugin       Spawned enemy 197
[Info]    MMOServerPlugin       Spawned enemy 198
[Info]    MMOServerPlugin       Spawned enemy 199
[Info]    MMOServerPlugin       Spawned enemy 200
[Info]    MMOServerPlugin       Spawned enemy 201
[Info]    MMOServerPlugin       Spawned enemy 202
[Info]    MMOServerPlugin       Spawned enemy 203
[Info]    MMOServerPlugin       Spawned enemy 204
[Info]    MMOServerPlugin       Spawned enemy 205
[Info]    MMOServerPlugin       Spawned enemy 206
[Info]    MMOServerPlugin       Spawned enemy 207
[Info]    MMOServerPlugin       Spawned enemy 208
[Info]    MMOServerPlugin       Spawned enemy 209
[Info]    MMOServerPlugin       Spawned enemy 210
[Info]    MMOServerPlugin       Spawned enemy 211
[Info]    MMOServerPlugin       Spawned enemy 212
[Info]    MMOServerPlugin       Spawned enemy 213
[Info]    MMOServerPlugin       Spawned enemy 214
[Info]    MMOServerPlugin       Spawned enemy 215
[Info]    MMOServerPlugin       Spawned enemy 216
[Info]    MMOServerPlugin       Spawned enemy 217
[Info]    MMOServerPlugin       Spawned enemy 218
[Info]    MMOServerPlugin       Spawned enemy 219
[Info]    MMOServerPlugin       Spawned enemy 220
[Info]    MMOServerPlugin       Spawned enemy 221
[Info]    MMOServerPlugin       Spawned enemy 222
[Info]    MMOServerPlugin       Spawned enemy 223
[Info]    MMOServerPlugin       Spawned enemy 224
[Info]    MMOServerPlugin       Spawned enemy 225
[Info]    MMOServerPlugin       Spawned enemy 226
[Info]    MMOServerPlugin       Spawned enemy 227
[Info]    MMOServerPlugin       Spawned enemy 228
[Info]    MMOServerPlugin       Spawned enemy 229
[Info]    MMOServerPlugin       Spawned enemy 230
[Info]    MMOServerPlugin       Spawned enemy 231
[Info]    MMOServerPlugin       Spawned enemy 232
[Info]    MMOServerPlugin       Spawned enemy 233
[Info]    MMOServerPlugin       Spawned enemy 234
[Info]    MMOServerPlugin       Spawned enemy 235
[Info]    MMOServerPlugin       Spawned enemy 236
[Info]    MMOServerPlugin       Spawned enemy 237
[Info]    MMOServerPlugin       Spawned enemy 238
[Info]    MMOServerPlugin       Spawned enemy 239
[Info]    MMOServerPlugin       Spawned enemy 240
[Info]    MMOServerPlugin       Spawned enemy 241
[Info]    MMOServerPlugin       Spawned enemy 242
[Info]    MMOServerPlugin       Spawned enemy 243
[Info]    MMOServerPlugin       Spawned enemy 244
[Info]    MMOServerPlugin       Spawned enemy 245
[Info]    MMOServerPlugin       Spawned enemy 246
[Info]    MMOServerPlugin       Spawned enemy 247
[Info]    MMOServerPlugin       Spawned enemy 248
[Info]    MMOServerPlugin       Spawned enemy 249
[Info]    MMOServerPlugin       Spawned enemy 250
[Info]    MMOServerPlugin       Spawned enemy 251
[Info]    MMOServerPlugin       Spawned enemy 252
[Info]    MMOServerPlugin       Spawned enemy 253
[Info]    MMOServerPlugin       Spawned enemy 254
[Info]    MMOServerPlugin       Spawned enemy 255
[Info]    MMOServerPlugin       Spawned enemy 256
[Info]    MMOServerPlugin       Spawned enemy 257
[Info]    MMOServerPlugin       Spawned enemy 258
[Info]    MMOServerPlugin       Spawned enemy 259
[Info]    MMOServerPlugin       Spawned enemy 260
[Info]    MMOServerPlugin       Spawned enemy 261
[Info]    MMOServerPlugin       Spawned enemy 262
[Info]    MMOServerPlugin       Spawned enemy 263
[Info]    MMOServerPlugin       Spawned enemy 264
[Info]    MMOServerPlugin       Spawned enemy 265
[Info]    MMOServerPlugin       Spawned enemy 266
[Info]    MMOServerPlugin       Spawned enemy 267
[Info]    MMOServerPlugin       Spawned enemy 268
[Info]    MMOServerPlugin       Spawned enemy 269
[Info]    MMOServerPlugin       Spawned enemy 270
[Info]    MMOServerPlugin       Spawned enemy 271
[Info]    MMOServerPlugin       Spawned enemy 272
[Info]    MMOServerPlugin       Spawned enemy 273
[Info]    MMOServerPlugin       Spawned enemy 274
[Info]    MMOServerPlugin       Spawned enemy 275
[Info]    MMOServerPlugin       Spawned enemy 276
[Info]    MMOServerPlugin       Spawned enemy 277
[Info]    MMOServerPlugin       Spawned enemy 278
[Info]    MMOServerPlugin       Spawned enemy 279
[Info]    MMOServerPlugin       Spawned enemy 280
[Info]    MMOServerPlugin       Spawned enemy 281
[Info]    MMOServerPlugin       Spawned enemy 282
[Info]    MMOServerPlugin       Spawned enemy 283
[Info]    MMOServerPlugin       Spawned enemy 284
[Info]    MMOServerPlugin       Spawned enemy 285
[Info]    MMOServerPlugin       Spawned enemy 286
[Info]    MMOServerPlugin       Spawned enemy 287
[Info]    MMOServerPlugin       Spawned enemy 288
[Info]    MMOServerPlugin       Spawned enemy 289
[Info]    MMOServerPlugin       Spawned enemy 290
[Info]    MMOServerPlugin       Spawned enemy 291
[Info]    MMOServerPlugin       Spawned enemy 292
[Info]    MMOServerPlugin       Spawned enemy 293
[Info]    MMOServerPlugin       Spawned enemy 294
[Info]    MMOServerPlugin       Spawned enemy 295
[Info]    MMOServerPlugin       Spawned enemy 296
[Info]    MMOServerPlugin       Spawned enemy 297
[Info]    MMOServerPlugin       Spawned enemy 298
[Info]    MMOServerPlugin       Spawned enemy 299
[Info]    MMOServerPlugin       Spawned enemy 300
[Info]    MMOServerPlugin       Spawned enemy 301
[Info]    MMOServerPlugin       Spawned enemy 302
[Info]    MMOServerPlugin       Spawned enemy 303
[Info]    MMOServerPlugin       Spawned enemy 304
[Info]    MMOServerPlugin       Spawned enemy 305
[Info]    MMOServerPlugin       Spawned enemy 306
[Info]    MMOServerPlugin       Spawned enemy 307
[Info]    MMOServerPlugin       Spawned enemy 308
[Info]    MMOServerPlugin       Spawned enemy 309
[Info]    MMOServerPlugin       Spawned enemy 310
[Info]    MMOServerPlugin       Spawned enemy 311
[Info]    MMOServerPlugin       Spawned enemy 312
[Info]    MMOServerPlugin       Spawned enemy 313
[Info]    MMOServerPlugin       Spawned enemy 314
[Info]    MMOServerPlugin       Spawned enemy 315
[Info]    MMOServerPlugin       Spawned enemy 316
[Info]    MMOServerPlugin       Spawned enemy 317
[Info]    MMOServerPlugin       Spawned enemy 318
[Info]    MMOServerPlugin       Spawned enemy 319
[Info]    MMOServerPlugin       Spawned enemy 320
[Info]    MMOServerPlugin       Spawned enemy 321
[Info]    MMOServerPlugin       Spawned enemy 322
[Info]    MMOServerPlugin       Spawned enemy 323
[Info]    MMOServerPlugin       Spawned enemy 324
[Info]    MMOServerPlugin       Spawned enemy 325
[Info]    MMOServerPlugin       Spawned enemy 326
[Info]    MMOServerPlugin       Spawned enemy 327
[Info]    MMOServerPlugin       Spawned enemy 328
[Info]    MMOServerPlugin       Spawned enemy 329
[Info]    MMOServerPlugin       Spawned enemy 330
[Info]    MMOServerPlugin       Spawned enemy 331
[Info]    MMOServerPlugin       Spawned enemy 332
[Info]    MMOServerPlugin       Spawned enemy 333
[Info]    MMOServerPlugin       Spawned enemy 334
[Info]    MMOServerPlugin       Spawned enemy 335
[Info]    MMOServerPlugin       Spawned enemy 336
[Info]    MMOServerPlugin       Spawned enemy 337
[Info]    MMOServerPlugin       Spawned enemy 338
[Info]    MMOServerPlugin       Spawned enemy 339
[Info]    MMOServerPlugin       Spawned enemy 340
[Info]    MMOServerPlugin       Spawned enemy 341
[Info]    MMOServerPlugin       Spawned enemy 342
[Info]    MMOServerPlugin       Spawned enemy 343
