[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:60564.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:59802.
[Info]    ClientManager         New client [0] connected [127.0.0.1:60564|127.0.0.1:59802].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Position: -0.1823489, -0.05470668
[Info]    MMOServerPlugin       Position: -0.1823489, -0.03689093
[Info]    MMOServerPlugin       Position: -0.1823489, -0.02485893
[Info]    MMOServerPlugin       Position: -0.1823489, -0.01317468
[Info]    MMOServerPlugin       Position: -0.1823489, -0.001637433
[Info]    MMOServerPlugin       Position: -0.1823489, 0.01090432
[Info]    MMOServerPlugin       Position: -0.1823489, 0.02217482
[Info]    MMOServerPlugin       Position: -0.1823489, 0.03382907
[Info]    MMOServerPlugin       Position: -0.1823489, 0.04482957
[Info]    MMOServerPlugin       Position: -0.1823489, 0.05674132
[Info]    MMOServerPlugin       Position: -0.1823489, 0.06938357
[Info]    MMOServerPlugin       Position: -0.1823489, 0.08074107
[Info]    MMOServerPlugin       Position: -0.1823489, 0.09203957
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1046281
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1158486
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1277821
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1392141
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1514301
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1624456
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1740306
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1862633
[Info]    MMOServerPlugin       Position: -0.1823489, 0.1981486
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2105606
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2223421
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2342368
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2465191
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2597831
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2735051
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2862756
[Info]    MMOServerPlugin       Position: -0.1823489, 0.2986461
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3112643
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3244676
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3379301
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3503933
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3639001
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3758373
[Info]    MMOServerPlugin       Position: -0.1823489, 0.3881328
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4013541
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4149051
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4280428
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4401521
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4538888
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4673008
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4796403
[Info]    MMOServerPlugin       Position: -0.1823489, 0.4914636
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5064818
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5194658
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5319273
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5432758
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5560786
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5692063
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5818368
[Info]    MMOServerPlugin       Position: -0.1823489, 0.5932761
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6055606
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6170116
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6281359
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6412249
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6538186
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6652529
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6764883
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6880226
[Info]    MMOServerPlugin       Position: -0.1823489, 0.6992436
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7113806
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7225913
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7338284
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7451501
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7571003
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7686481
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7797696
[Info]    MMOServerPlugin       Position: -0.1823489, 0.7913786
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8030761
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8144413
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8256461
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8373711
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8484721
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8609416
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8722364
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8836223
[Info]    MMOServerPlugin       Position: -0.1823489, 0.8945076
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9065698
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9180104
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9290076
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9399536
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9526248
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9643718
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9755753
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9869726
[Info]    MMOServerPlugin       Position: -0.1823489, 0.9981745
[Info]    MMOServerPlugin       Position: -0.1823489, 1.010332
[Info]    MMOServerPlugin       Position: -0.1823489, 1.022208
[Info]    MMOServerPlugin       Position: -0.1823489, 1.033124
[Info]    MMOServerPlugin       Position: -0.1823489, 1.044513
[Info]    MMOServerPlugin       Position: -0.1823489, 1.05651
[Info]    MMOServerPlugin       Position: -0.1823489, 1.067773
[Info]    MMOServerPlugin       Position: -0.1823489, 1.078897
[Info]    MMOServerPlugin       Position: -0.1823489, 1.089986
[Info]    MMOServerPlugin       Position: -0.1823489, 1.10208
[Info]    MMOServerPlugin       Position: -0.1823489, 1.11369
[Info]    MMOServerPlugin       Position: -0.1823489, 1.124681
[Info]    MMOServerPlugin       Position: -0.1823489, 1.135888
[Info]    MMOServerPlugin       Position: -0.1823489, 1.147079
[Info]    MMOServerPlugin       Position: -0.1823489, 1.159861
