[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:61193.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:49837.
[Info]    ClientManager         New client [0] connected [127.0.0.1:61193|127.0.0.1:49837].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Position: 0.2459299, 0.492123
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5146693
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5257198
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5376921
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5486401
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5592846
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5700233
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5809315
[Info]    MMOServerPlugin       Position: 0.2459299, 0.5929986
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6046966
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6157486
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6271431
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6392056
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6499726
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6606778
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6715698
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6825105
[Info]    MMOServerPlugin       Position: 0.2459299, 0.6940743
[Info]    MMOServerPlugin       Position: 0.2459299, 0.7051103
[Info]    MMOServerPlugin       Position: 0.2459299, 0.715838
[Info]    MMOServerPlugin       Position: 0.2459299, 0.726541
[Info]    MMOServerPlugin       Position: 0.2459299, 0.738057
[Info]    MMOServerPlugin       Position: 0.2459299, 0.7488038
