[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59938.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:63744.
[Info]    ClientManager         New client [0] connected [127.0.0.1:59938|127.0.0.1:63744].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Position: -0.1106599, 0.186404
[Info]    MMOServerPlugin       Position: -0.1106599, 0.1995165
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2095663
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2196628
[Info]    MMOServerPlugin       Position: -0.1106599, 0.229577
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2395288
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2496248
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2595573
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2695415
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2796855
[Info]    MMOServerPlugin       Position: -0.1106599, 0.289544
[Info]    MMOServerPlugin       Position: -0.1106599, 0.2995405
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3095845
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3195958
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3295258
[Info]    MMOServerPlugin       Position: -0.1106599, 0.33957
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3495483
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3595675
[Info]    MMOServerPlugin       Position: -0.1106599, 0.369582
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3795395
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3895968
[Info]    MMOServerPlugin       Position: -0.1106599, 0.3996255
[Info]    MMOServerPlugin       Position: -0.1106599, 0.4095878
[Info]    MMOServerPlugin       Position: -0.1106599, 0.4196468
[Info]    MMOServerPlugin       Position: -0.1106599, 0.429596
[Info]    MMOServerPlugin       Position: -0.1106599, 0.439615
[Info]    MMOServerPlugin       Position: -0.1106599, 0.4496382
[Info]    MMOServerPlugin       Position: -0.1106599, 0.459706
[Info]    MMOServerPlugin       Position: -0.1106599, 0.4697778
[Info]    MMOServerPlugin       Position: -0.1106599, 0.4936505
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5058905
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5172886
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5278891
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5387131
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5487121
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5587016
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5687103
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5792478
[Info]    MMOServerPlugin       Position: -0.1106599, 0.5927044
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6031154
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6148071
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6250434
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6354584
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6455371
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6556179
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6658679
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6760666
[Info]    MMOServerPlugin       Position: -0.1106599, 0.6866617
