[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Spawning enemies... 
[Info]    MMOServerPlugin       Spawned enemy 0
[Info]    MMOServerPlugin       Launching server...
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:62554.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:58401.
[Info]    ClientManager         New client [0] connected [127.0.0.1:62554|127.0.0.1:58401].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Collider Position: 1.827505, -0.7988955
[Info]    MMOServerPlugin       Collider Point: 1.827505, -0.7988955
[Info]    MMOServerPlugin       Collider Point: 0.6445316, -1.202719
[Info]    MMOServerPlugin       Collider Point: 0.5825552, -0.6866482
[Info]    MMOServerPlugin       Collider Point: 0.7358418, -0.1899857
[Info]    MMOServerPlugin       Collider Point: 1.077887, 0.2013909
[Info]    MMOServerPlugin       Collider Point: 1.549548, 0.4198086
[Info]    MMOServerPlugin       Enemy 0 took 10 damage.
[Info]    MMOServerPlugin       Enemy Position: 0.1857069, -1.278134
[Info]    MMOServerPlugin       Enemy Collider: 0.1857069, -1.278134
[Info]    MMOServerPlugin       Collider Position: 3.471823, 1.779299
[Info]    MMOServerPlugin       Collider Point: 3.471823, 1.779299
[Info]    MMOServerPlugin       Collider Point: 2.610481, 2.685163
[Info]    MMOServerPlugin       Collider Point: 3.053396, 2.957186
[Info]    MMOServerPlugin       Collider Point: 3.568661, 3.025542
[Info]    MMOServerPlugin       Collider Point: 4.067182, 2.878412
[Info]    MMOServerPlugin       Collider Point: 4.462759, 2.541234
[Info]    MMOServerPlugin       Collider Position: 3.471823, 1.779299
[Info]    MMOServerPlugin       Collider Point: 3.471823, 1.779299
[Info]    MMOServerPlugin       Collider Point: 2.384209, 2.395412
[Info]    MMOServerPlugin       Collider Point: 2.728834, 2.784519
[Info]    MMOServerPlugin       Collider Point: 3.201929, 2.999814
[Info]    MMOServerPlugin       Collider Point: 3.721691, 3.004071
[Info]    MMOServerPlugin       Collider Point: 4.198248, 2.796554
