[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Spawning enemies... 
[Info]    MMOServerPlugin       Spawned enemy 0
[Info]    MMOServerPlugin       Launching server...
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:62804.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:53131.
[Info]    ClientManager         New client [0] connected [127.0.0.1:62804|127.0.0.1:53131].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Collider Position: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: 0.4268951, -0.5476643
[Info]    MMOServerPlugin       Collider Point: 0.9451519, -0.5874157
[Info]    MMOServerPlugin       Collider Point: 1.402435, -0.8345245
[Info]    MMOServerPlugin       Collider Point: 1.719676, -1.246263
[Info]    MMOServerPlugin       Collider Point: 1.84202, -1.751439
[Info]    MMOServerPlugin       Collider Position: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: -0.5977174, -2.16854
[Info]    MMOServerPlugin       Collider Point: -0.6501478, -1.651412
[Info]    MMOServerPlugin       Collider Point: -0.4877105, -1.157667
[Info]    MMOServerPlugin       Collider Point: -0.1384921, -0.7726773
[Info]    MMOServerPlugin       Collider Point: 0.337124, -0.5630116
[Info]    MMOServerPlugin       Collider Position: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: -0.1694866, -0.795759
[Info]    MMOServerPlugin       Collider Point: 0.299421, -0.5714911
[Info]    MMOServerPlugin       Collider Point: 0.8190075, -0.5573343
[Info]    MMOServerPlugin       Collider Point: 1.299431, -0.7557362
[Info]    MMOServerPlugin       Collider Point: 1.657623, -1.132391
[Info]    MMOServerPlugin       Collider Position: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: 0.5925157, -1.786644
[Info]    MMOServerPlugin       Collider Point: -0.5488217, -2.296397
[Info]    MMOServerPlugin       Collider Point: -0.6574835, -1.788103
[Info]    MMOServerPlugin       Collider Point: -0.550009, -1.279557
[Info]    MMOServerPlugin       Collider Point: -0.2449816, -0.8586899
[Info]    MMOServerPlugin       Collider Point: 0.2048566, -0.5982748
