[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Spawning enemies... 
[Info]    MMOServerPlugin       Spawned enemy 0
[Info]    MMOServerPlugin       Launching server...
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:62605.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:51822.
[Info]    ClientManager         New client [0] connected [127.0.0.1:62605|127.0.0.1:51822].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Collider Position: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: -0.8853748, -2.999541
[Info]    MMOServerPlugin       Collider Point: -0.9226677, -2.481101
[Info]    MMOServerPlugin       Collider Point: -0.7458682, -1.992314
[Info]    MMOServerPlugin       Collider Point: -0.3855464, -1.617696
[Info]    MMOServerPlugin       Collider Point: 0.09599474, -1.422022
[Info]    MMOServerPlugin       Collider Position: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: -0.6313927, -1.836587
[Info]    MMOServerPlugin       Collider Point: -0.2176278, -1.521993
[Info]    MMOServerPlugin       Collider Point: 0.2883221, -1.402892
[Info]    MMOServerPlugin       Collider Point: 0.7989733, -1.499875
[Info]    MMOServerPlugin       Collider Point: 1.22603, -1.796174
[Info]    MMOServerPlugin       Collider Position: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.2638465, -3.901527
[Info]    MMOServerPlugin       Collider Point: -0.239673, -3.772537
[Info]    MMOServerPlugin       Collider Point: -0.6471961, -3.449899
[Info]    MMOServerPlugin       Collider Point: -0.888258, -2.9894
[Info]    MMOServerPlugin       Collider Point: -0.9211774, -2.470664
[Info]    MMOServerPlugin       Collider Position: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 1.537948, -2.391541
[Info]    MMOServerPlugin       Collider Point: 1.538444, -2.91132
[Info]    MMOServerPlugin       Collider Point: 1.327483, -3.386363
[Info]    MMOServerPlugin       Collider Point: 0.9415435, -3.734531
[Info]    MMOServerPlugin       Collider Point: 0.4473574, -3.895623
[Info]    MMOServerPlugin       Collider Position: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: 0.3155122, -2.652596
[Info]    MMOServerPlugin       Collider Point: -0.2585226, -1.542198
[Info]    MMOServerPlugin       Collider Point: 0.2427449, -1.404716
[Info]    MMOServerPlugin       Collider Point: 0.7565945, -1.483003
[Info]    MMOServerPlugin       Collider Point: 1.194177, -1.763524
[Info]    MMOServerPlugin       Collider Point: 1.479831, -2.197774
[Info]    MMOServerPlugin       Goodbye adventurer, 0
[Info]    ClientManager         Client [0] disconnected.
